last,best_bid,best_ask
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6944,126.6327,126.6944
126.6358,126.6356,126.6619
126.6358,126.6356,126.6619
126.6358,126.6356,126.6619
126.6358,126.6356,126.6619
126.6358,126.6383,126.6619
126.6358,126.6383,126.6619
126.6358,126.6383,126.6619
126.6358,126.6383,126.6619
126.6358,126.6383,126.6619
126.6358,126.6383,126.6619
126.6358,126.6383,126.6619
126.6619,126.6747,126.6973
126.6619,126.6747,126.6973
126.6619,126.6747,126.6973
126.6619,126.6747,126.6973
126.6619,126.6747,126.6973
126.6747,126.6384,126.6612
126.6747,126.6384,126.6612
126.6747,126.6384,126.6612
126.6747,126.6384,126.6612
126.6747,126.6384,126.6612
126.6328,126.6328,126.6945
126.6328,126.6328,126.6945
126.6328,126.6328,126.6945
126.6328,126.6328,126.6945
126.6355,126.66,126.6924
126.6355,126.66,126.6924
126.6355,126.66,126.6924
